CustomerID,Segment,churn_prediction,marketing_action
414,At-Risk,1,Reactivation Email + Big Discount
415,Recent Low-Spenders,0,Upsell: Bundle Offer
416,Recent Low-Spenders,0,Upsell: Bundle Offer
417,Recent Low-Spenders,0,Upsell: Bundle Offer
418,Recent Low-Spenders,0,Upsell: Bundle Offer
419,Recent Low-Spenders,0,Upsell: Bundle Offer
420,Recent Low-Spenders,0,Upsell: Bundle Offer
421,Recent Low-Spenders,0,Upsell: Bundle Offer
422,Recent Low-Spenders,0,Upsell: Bundle Offer
423,Recent Low-Spenders,0,Upsell: Bundle Offer
424,Recent Low-Spenders,0,Upsell: Bundle Offer
425,At-Risk,1,Reactivation Email + Big Discount
426,Recent Low-Spenders,0,Upsell: Bundle Offer
427,Recent Low-Spenders,0,Upsell: Bundle Offer
428,At-Risk,1,Reactivation Email + Big Discount
429,Recent Low-Spenders,0,Upsell: Bundle Offer
430,At-Risk,1,Reactivation Email + Big Discount
431,Recent Low-Spenders,0,Upsell: Bundle Offer
432,At-Risk,1,Reactivation Email + Big Discount
433,At-Risk,1,Reactivation Email + Big Discount
434,Recent Low-Spenders,0,Upsell: Bundle Offer
435,At-Risk,1,Reactivation Email + Big Discount
436,At-Risk,1,Reactivation Email + Big Discount
437,Loyal Customers,0,Loyalty Bonus + Referral Code
438,At-Risk,1,Reactivation Email + Big Discount
439,At-Risk,1,Reactivation Email + Big Discount
440,At-Risk,1,Reactivation Email + Big Discount
441,At-Risk,1,Reactivation Email + Big Discount
442,Recent Low-Spenders,0,Upsell: Bundle Offer
443,At-Risk,1,Reactivation Email + Big Discount
444,Recent Low-Spenders,0,Upsell: Bundle Offer
445,At-Risk,1,Reactivation Email + Big Discount
446,Recent Low-Spenders,0,Upsell: Bundle Offer
447,At-Risk,1,Reactivation Email + Big Discount
448,At-Risk,1,Reactivation Email + Big Discount
449,Recent Low-Spenders,0,Upsell: Bundle Offer
450,Recent Low-Spenders,0,Upsell: Bundle Offer
451,At-Risk,1,Reactivation Email + Big Discount
452,At-Risk,1,Reactivation Email + Big Discount
453,Recent Low-Spenders,0,Upsell: Bundle Offer
454,At-Risk,1,Reactivation Email + Big Discount
455,Recent Low-Spenders,0,Upsell: Bundle Offer
456,Recent Low-Spenders,0,Upsell: Bundle Offer
457,Recent Low-Spenders,0,Upsell: Bundle Offer
458,Recent Low-Spenders,0,Upsell: Bundle Offer
459,At-Risk,1,Reactivation Email + Big Discount
460,At-Risk,1,Reactivation Email + Big Discount
461,Recent Low-Spenders,0,Upsell: Bundle Offer
462,Recent Low-Spenders,0,Upsell: Bundle Offer
463,Recent Low-Spenders,0,Upsell: Bundle Offer
464,At-Risk,1,Reactivation Email + Big Discount
465,Recent Low-Spenders,0,Upsell: Bundle Offer
466,At-Risk,1,Reactivation Email + Big Discount
467,Recent Low-Spenders,0,Upsell: Bundle Offer
